데이터 시간,시리얼번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소 (ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
2024-04-29 13:56,ICW0W2100488,17,6,514,74,23.6,27,70,97
2024-05-10 09:08,ICW0W2100506,1,0,90,16,32.7,26,58,92
2024-03-14 09:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-05-10 09:08,ICW0W2100582,31,11,504,18,22.9,38,61,99
2024-05-07 15:58,ICW0W2100579,4,0,0,244,26.1,33,69,96
2024-05-10 09:13,ICW0W2100562,25,13,645,642,25.2,32,81,81
2024-05-10 09:08,ICW0W2100560,9,2,972,5998,23.5,39,58,71
2024-05-10 09:08,ICW0W2100549,32,12,358,41,22.4,35,66,100
2024-05-10 09:08,ICW0W2100509,19,7,23,1275,22.8,39,69,84
2024-05-03 12:55,ICW0W2100499,39,14,878,3614,24.6,33,77,66
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-04-30 13:06,ICW0W2100497,45,17,639,36,25.2,34,63,90
2024-05-10 09:15,ICW0W2100491,18,9,641,700,23.5,36,78,88
2024-04-29 17:13,ICW0W2100485,142,39,707,0,25.5,37,68,80
2024-05-10 09:08,ICW0W2100481,152,47,495,5442,22.7,43,69,62
2024-05-10 09:08,ICW0W2100479,16,6,481,34,22.8,38,70,100
2024-04-30 11:47,ICW0W2100489,17,7,227,19,23.6,42,73,100
2024-05-10 09:08,ICW0W2100467,9,3,,3193,22.3,39,86,74
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-05-10 09:08,ICW0W2100462,26,10,76,42,22.9,36,73,100
2024-05-09 16:06,ICW0W2100460,17,6,703,0,22.5,36,72,100
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-05-09 15:24,ICW0W2100455,13,5,1381,0,23.5,38,64,88
2024-05-07 15:50,ICW0W2000512,1,0,742,647,26.9,38,75,88
2024-05-10 09:08,ICW0W2001000,18,11,58,28,22.2,40,60,100
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-05-10 09:08,ICW0W2000951,28,8,329,124,24.4,43,82,100
2024-05-10 09:08,ICW0W2000956,19,12,426,63,20.9,42,54,100
2024-05-10 09:08,ICW0W2000996,23,22,462,127,21.6,38,61,98
2024-05-10 09:08,ICW0W2000991,10,7,518,70,20.9,41,62,100
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21.0,34,63,71
2024-05-07 17:45,ICW0W2000983,0,0,111,109,18.1,46,70,100
2024-05-07 17:55,ICW0W2000955,2,1,443,132,20.5,39,63,100
2024-05-09 18:19,ICW0W2000987,52,21,,84,22.2,35,58,96
2024-05-10 09:08,ICW0W2000978,26,15,415,120,20.3,39,55,99
2024-05-10 09:08,ICW0W2000922,24,7,423,22,24.3,40,66,100
2024-05-10 09:08,ICW0W2000926,8,2,114,53,27.5,33,54,94
2024-05-10 09:08,ICW0W2000977,18,12,482,75,23.0,38,75,100
2024-05-10 09:08,ICW0W2000933,24,8,386,4,22.1,41,75,100
2024-03-13 08:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
2024-05-10 09:08,ICW0W2000973,4,3,368,89,21.4,40,67,100
2024-05-07 15:13,ICW0W2000972,7,5,859,114,23.5,37,66,100
2024-05-10 09:08,ICW0W2000968,11,7,609,342,28.7,28,66,86
2024-04-03 16:18,ICW0W2000944,4,2,1156,4964,23.3,44,83,79
2024-05-10 09:08,ICW0W2000964,27,15,501,60,20.4,37,67,99
2024-05-10 09:08,ICW0W2000924,15,4,636,13,23.8,39,77,100
2024-05-10 09:08,ICW0W2000505,13,5,389,17,21.1,42,61,100
2024-05-10 09:08,V01T1623100,4,2,329,125,20.3,51,31,100
2024-05-10 09:08,V01T1623130,4,2,404,126,21.5,44,30,100
2024-05-10 09:08,V01T1623129,24,12,688,125,24.2,37,38,95
2024-05-10 09:08,V01T1623123,9,4,511,126,23.9,38,32,100
2024-03-13 15:23,V01T1623121,55,24,426,132,18.0,22,43,92
2024-05-10 09:07,V01T1623118,1,1,414,125,20.5,42,30,100
2024-03-29 08:06,V01T1623117,177,49,522,133,19.8,26,46,74
2024-05-10 09:08,V01T1623116,25,12,2500,125,22.7,41,38,83
2024-05-10 09:08,V01T1623113,33,15,452,125,26.0,32,30,91
2024-05-10 07:35,V01T1623112,1,1,440,126,25.1,37,30,100
2024-05-10 09:08,V01T1623109,11,5,2362,125,16.8,59,41,82
2024-05-10 09:08,V01T1623108,19,9,605,125,21.9,42,34,100
2024-05-10 09:08,V01T1623105,37,17,427,141,21.5,43,36,100
2024-05-10 09:08,V01T1623102,35,16,572,132,24.8,34,30,90
2024-05-10 09:08,ICW0W2000503,13,5,441,587,21.2,43,46,95
2024-05-10 09:08,ICW0W2000455,17,5,76,61,19.7,46,65,100
2024-05-10 09:08,ICW0W2000447,24,6,295,43,20.2,44,47,100
2024-05-10 09:08,ICW0W2000459,24,8,560,54,21.7,43,62,100
2024-05-10 09:08,ICW0W2000507,3,1,655,44,24.0,41,46,100
2024-05-10 09:08,ICW0W2000501,15,6,358,129,21.4,41,48,100
2024-05-10 09:07,ICW0W2000500,8,4,2500,4,22.8,46,60,86
2024-05-10 09:08,ICW0W2000380,12,4,306,202,20.3,44,44,100
2024-05-10 09:08,ICW0W2000275,3,1,571,241,22.6,42,55,100
2024-03-31 18:00,ICW0W2000388,4,1,418,150,18.2,34,47,99
2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26.0,15,53,72
2024-03-21 16:09,ICW0W2000382,16,5,500,0,23.3,20,63,98
2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
2024-05-10 09:08,ICW0W2000287,17,5,376,13,21.0,42,60,100
2024-05-10 09:08,ICW0W2000398,26,9,350,16,20.7,41,62,100
2024-05-10 09:08,ICW0W2000974,34,22,547,77,20.2,41,66,100
2024-05-10 09:08,ICW0W2000248,12,3,1507,264,23.4,36,64,83
2024-05-10 09:08,ICW0W2000262,29,9,437,17,19.9,45,77,100
2024-04-29 13:56,ICW0W2100488,17,6,514,74,23.6,27,70,97
