,데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
0,2024-03-21 15:04,ICW0W2100481,10,4,1277,5282,21.9,32,72,68
1,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2,2024-03-21 15:04,ICW0W2100582,28,10,694,119,23.1,20,71,94
3,2024-03-21 15:04,ICW0W2100579,9,3,0,446,25.3,13,61,87
4,2024-03-21 15:05,ICW0W2100562,27,14,581,4762,24.6,15,68,62
5,2024-03-21 15:04,ICW0W2100560,13,4,582,6000,23.9,17,59,65
6,2024-03-21 15:04,ICW0W2100549,17,7,951,168,20.3,25,72,94
7,2024-03-21 15:04,ICW0W2100509,15,5,264,6000,23,22,64,69
8,2024-03-21 15:04,ICW0W2100506,27,10,84,16,23.9,14,55,95
9,2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
10,2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
11,2024-03-21 15:04,ICW0W2100497,274,114,1025,65,26.4,20,72,57
12,2024-03-21 15:07,ICW0W2100491,7,4,1415,12997,25.7,23,62,55
13,2024-03-21 15:04,ICW0W2100489,13,5,78,1,24.2,20,67,98
14,2024-03-21 15:04,ICW0W2100488,27,10,457,137,22.9,15,77,92
15,2024-03-21 15:04,ICW0W2100485,9,3,2172,0,24.8,34,67,77
16,2024-03-21 15:04,ICW0W2100479,49,18,1751,318,25.7,23,68,71
17,2024-03-21 15:04,ICW0W2100467,12,5,,6000,22.4,18,83,59
18,2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
19,2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
20,2024-03-21 15:04,ICW0W2100462,11,4,60,3642,25.5,22,65,72
21,2024-03-21 15:04,ICW0W2100460,7,2,1741,0,22.2,28,70,81
22,2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
23,2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
24,2024-03-21 15:04,ICW0W2100455,18,6,604,3459,24.4,20,60,70
25,2024-03-21 15:04,ICW0W2001000,19,12,111,75,16.9,27,71,95
26,2024-03-21 15:04,ICW0W2000996,20,19,541,1276,21.7,23,57,76
27,2024-03-21 15:04,ICW0W2000991,22,15,419,34,20.3,24,58,96
28,2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
29,2024-03-21 15:04,ICW0W2000987,7,5,754,293,23,26,60,94
30,2024-03-21 15:04,ICW0W2000983,7,5,173,117,17.2,28,62,96
31,2024-03-21 15:04,ICW0W2000978,20,12,778,306,17.2,26,51,88
32,2024-03-21 15:04,ICW0W2000977,12,8,755,746,21.2,27,66,83
33,2024-03-21 15:04,ICW0W2000974,25,16,1183,228,18.9,28,72,84
34,2024-03-21 15:04,ICW0W2000973,23,15,567,30,19.5,23,73,95
35,2024-03-21 14:56,ICW0W2000972,39,27,1016,306,24.9,20,48,82
36,2024-03-21 15:04,ICW0W2000968,20,11,841,281,27,18,61,86
37,2024-03-21 15:04,ICW0W2000964,24,16,555,972,18.8,22,58,77
38,2024-03-21 15:04,ICW0W2000956,15,9,1170,623,18.6,36,58,86
39,2024-03-21 15:04,ICW0W2000955,21,15,565,444,18.3,23,64,88
40,2024-03-21 15:04,ICW0W2000951,36,10,352,80,22.5,22,61,96
41,2024-03-21 15:04,ICW0W2000944,11,8,734,120,20.6,28,78,95
42,2024-03-21 15:04,ICW0W2000933,13,3,1522,4989,23.7,28,62,65
43,2024-03-21 15:04,ICW0W2000926,17,5,25,20,26.5,21,53,97
44,2024-03-21 15:04,ICW0W2000924,35,11,838,173,23.1,25,74,92
45,2024-03-21 15:04,ICW0W2000922,8,2,426,47,23.2,28,59,99
46,2024-03-21 15:04,V01T1623130,17,8,954,241,21.8,21,46,92
47,2024-03-21 15:03,V01T1623129,11,5,667,148,27.1,16,42,86
48,2024-03-21 15:04,V01T1623123,33,15,848,293,23.4,17,40,87
49,2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
50,2024-03-21 15:03,V01T1623118,5,2,510,126,22.8,18,35,95
51,2024-03-21 15:03,V01T1623117,27,12,1004,322,23.2,20,47,88
52,2024-03-21 15:04,V01T1623116,37,17,535,152,22.1,23,39,92
53,2024-03-21 15:04,V01T1623113,1,1,469,146,25.4,9,53,93
54,2024-03-21 15:04,V01T1623112,43,19,686,168,27.4,16,46,81
55,2024-03-21 15:04,V01T1623109,48,21,2224,162,10.7,32,40,64
56,2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
57,2024-03-21 15:04,V01T1623105,11,5,602,146,20.7,16,31,93
58,2024-03-21 15:04,V01T1623102,26,12,1540,507,27.9,21,37,69
59,2024-03-21 15:04,V01T1623100,21,10,1069,326,23.5,26,36,87
60,2024-03-21 15:04,ICW0W2000512,23,9,551,356,24.5,21,70,89
61,2024-03-21 15:04,ICW0W2000507,6,3,757,1035,25.3,20,52,76
62,2024-03-21 15:04,ICW0W2000505,7,2,724,289,25.4,22,76,92
63,2024-03-21 15:04,ICW0W2000503,3,1,1173,680,23.1,31,63,83
64,2024-03-21 15:04,ICW0W2000501,14,5,709,1223,22.2,24,69,78
65,2024-03-21 15:04,ICW0W2000500,13,7,2500,372,29.3,17,62,65
66,2024-03-21 15:04,ICW0W2000459,16,5,796,43,26.6,19,63,90
67,2024-03-21 15:04,ICW0W2000455,14,5,130,58,19.9,30,65,100
68,2024-03-21 15:04,ICW0W2000447,40,10,1494,1874,20.1,31,61,67
69,2024-03-21 15:04,ICW0W2000398,27,9,512,57,21.8,22,61,96
70,2024-03-21 15:04,ICW0W2000388,19,7,620,156,16.8,29,47,92
71,2024-03-21 15:04,ICW0W2000382,3,1,611,30,21.5,26,64,99
72,2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
73,2024-03-21 15:04,ICW0W2000380,22,7,824,251,18.9,28,57,92
74,2024-03-13 8:57,ICW0W2000373,68,18,521,107,15.3,34,69,84
75,2024-03-21 15:04,ICW0W2000287,10,3,1019,114,25.2,22,52,89
76,2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
