,데이터시간,시리얼 번호,미세먼지 (㎍/㎥),초미세먼지 (㎍/㎥),이산화탄소(ppm),휘발성유기화합물 (ppb),온도(℃),습도(%),소음(dB),통합실내지수
0,2024-03-19 17:34,ICW0W2100481,27,10,928,923,21.7,35,64,82
1,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2,2024-03-19 17:34,ICW0W2100582,62,23,519,1126,22.2,26,70,74
3,2024-03-19 17:34,ICW0W2100579,23,9,0,302,27.5,17,60,86
4,2024-03-19 17:35,ICW0W2100562,46,24,594,913,24.7,21,61,73
5,2024-03-19 17:34,ICW0W2100560,31,11,573,6000,24.5,22,55,63
6,2024-03-19 17:34,ICW0W2100549,36,13,1670,281,19.5,37,69,79
7,2024-03-19 17:34,ICW0W2100509,46,17,80,5410,23.6,25,57,68
8,2024-03-19 17:34,ICW0W2100506,70,27,215,23,12.3,41,55,90
9,2024-03-19 16:07,ICW0W2100499,29,10,500,6000,23.2,30,78,66
10,2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
11,2024-03-19 17:34,ICW0W2100497,308,129,565,25,24.8,23,57,60
12,2024-03-19 17:37,ICW0W2100491,13,7,1039,60000,24.3,25,57,61
13,2024-03-19 17:34,ICW0W2100489,25,8,93,2,24.1,25,63,96
14,2024-03-19 17:34,ICW0W2100488,64,23,506,117,22.9,22,78,91
15,2024-03-19 17:34,ICW0W2100485,104,37,1320,1,23,34,74,75
16,2024-03-19 17:34,ICW0W2100479,43,15,585,94,24.4,26,61,90
17,2024-03-19 17:34,ICW0W2100467,32,12,,6000,22.9,24,80,59
18,2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
19,2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
20,2024-03-19 17:34,ICW0W2100462,32,12,33,1307,24,26,68,78
21,2024-03-19 17:34,ICW0W2100460,16,5,1460,0,21.7,33,61,82
22,2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
23,2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
24,2024-03-19 17:34,ICW0W2100455,35,13,1631,0,22.6,33,75,78
25,2024-03-19 17:34,ICW0W2001000,35,22,23,112,17.5,29,51,92
26,2024-03-19 17:34,ICW0W2000996,35,33,673,139,22.6,28,60,90
27,2024-03-19 17:31,ICW0W2000991,50,32,406,29,17.1,33,71,89
28,2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
29,2024-03-19 17:34,ICW0W2000987,19,12,1033,291,23.7,29,62,88
30,2024-03-19 17:34,ICW0W2000983,13,9,177,4334,14.5,36,62,70
31,2024-03-19 17:34,ICW0W2000978,44,28,437,117,16.7,30,44,89
32,2024-03-19 17:34,ICW0W2000977,36,22,751,6000,20.9,31,55,63
33,2024-03-19 17:34,ICW0W2000974,5,4,962,424,19,34,54,89
34,2024-03-19 17:34,ICW0W2000973,24,15,391,56,20.7,28,56,96
35,2024-03-19 17:34,ICW0W2000972,74,49,463,21,22.6,23,48,85
36,2024-03-19 17:34,ICW0W2000968,43,27,448,118,24.9,20,63,89
37,2024-03-19 17:34,ICW0W2000964,60,39,446,67,16.2,30,53,85
38,2024-03-19 17:34,ICW0W2000956,49,28,763,1541,18.7,36,51,76
39,2024-03-19 17:34,ICW0W2000955,42,27,730,109,17.2,34,71,88
40,2024-03-19 17:34,ICW0W2000951,52,15,429,617,23.6,30,62,84
41,2024-03-19 17:34,ICW0W2000944,297,208,1333,145,23.4,34,72,50
42,2024-03-19 17:34,ICW0W2000933,56,18,391,26,22,27,49,94
43,2024-03-19 17:34,ICW0W2000926,10,3,2,1459,27.9,25,52,74
44,2024-03-19 17:34,ICW0W2000924,39,12,461,9,19.8,30,66,95
45,2024-03-19 17:34,ICW0W2000922,45,15,507,44,22.6,28,61,94
46,2024-03-19 17:34,V01T1623130,23,11,618,163,19.5,28,46,94
47,2024-03-19 17:34,V01T1623129,34,16,796,215,25.7,23,37,87
48,2024-03-19 17:34,V01T1623123,52,23,557,265,23.4,21,33,89
49,2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
50,2024-03-19 17:33,V01T1623118,1,1,465,263,23.9,25,34,97
51,2024-03-19 17:33,V01T1623117,48,21,1310,646,24.1,29,46,73
52,2024-03-19 17:34,V01T1623116,40,18,750,157,22.1,28,31,91
53,2024-03-19 17:34,V01T1623113,61,26,443,126,29.9,14,33,81
54,2024-03-19 17:34,V01T1623112,60,25,597,196,25.9,22,52,86
55,2024-03-19 17:34,V01T1623109,67,28,2362,135,11.5,42,44,69
56,2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
57,2024-03-19 17:34,V01T1623105,70,29,597,233,22,23,31,88
58,2024-03-19 17:34,V01T1623102,16,8,1531,459,28,23,40,71
59,2024-03-19 17:34,V01T1623100,58,25,368,142,21.9,27,30,92
60,2024-03-19 17:34,ICW0W2000512,57,22,526,272,22.8,28,62,89
