?∞Ïù¥?∞ÏãúÍ∞??úÎ¶¨??Î≤àÌò∏,ÎØ∏ÏÑ∏Î®ºÏ? (????,Ï¥àÎ??∏Î®ºÏßÄ (????,?¥ÏÇ∞?îÌÉÑ??ppm),?òÎ∞ú?±Ïú†Í∏∞Ìôî?©Î¨º (ppb),?®ÎèÑ(??,?µÎèÑ(%),?åÏùå(dB),?µÌï©?§ÎÇ¥ÏßÄ??,
2024-03-20 16:59,ICW0W2100488,23,8,494,159,23.2,15,72,92
2024-03-20 16:59,ICW0W2100506,16,6,877,37,28.8,13,65,86
2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
2024-03-20 16:59,ICW0W2100582,26,10,629,1444,22.5,20,60,76
2024-03-20 16:59,ICW0W2100579,10,4,0,700,26.8,11,64,82
2024-03-20 17:00,ICW0W2100562,22,12,615,869,22.9,15,59,77
2024-03-20 16:59,ICW0W2100560,23,9,452,5809,22,15,58,65
2024-03-20 16:59,ICW0W2100549,26,9,847,134,18.4,24,69,93
2024-03-20 16:59,ICW0W2100509,12,5,179,6000,23.1,21,70,70
2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
2024-03-20 16:59,ICW0W2100497,165,69,560,48,24,16,54,68
2024-03-20 17:02,ICW0W2100491,6,3,1095,60000,23.2,20,66,64
2024-03-20 16:59,ICW0W2100485,14,5,1195,1,23.1,28,81,88
2024-03-20 16:59,ICW0W2100481,27,10,1160,452,21.9,31,70,84
2024-03-20 16:59,ICW0W2100479,20,7,862,125,24.7,23,58,91
2024-03-20 16:59,ICW0W2100489,6,2,80,4,23.8,21,62,100
2024-03-20 16:59,ICW0W2100467,10,4,,6000,22.4,17,86,59
2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
2024-03-20 16:59,ICW0W2100462,8,2,14,6000,24,23,59,71
2024-03-20 16:59,ICW0W2100460,8,2,1316,0,21,27,74,86
2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
2024-03-20 16:59,ICW0W2100455,14,5,1455,0,22.5,25,77,82
2024-03-20 16:09,ICW0W2000512,24,9,601,1217,33.7,15,66,64
2024-03-20 16:59,ICW0W2001000,16,11,390,208,18.7,27,61,95
2024-02-27 11:02,ICW0W2000263,15,3,430,42,20.9,24,65,99
2024-03-20 16:59,ICW0W2000951,27,8,314,245,20.4,21,66,95
2024-03-20 16:59,ICW0W2000956,20,12,1004,6000,20.2,32,60,70
2024-03-20 16:59,ICW0W2000996,21,20,596,3369,21.7,22,55,71
2024-03-20 16:59,ICW0W2000991,14,10,483,21,20.8,23,63,97
2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
2024-03-20 16:59,ICW0W2000983,7,5,198,62,13.7,28,61,90
2024-03-20 16:59,ICW0W2000955,17,11,626,60,17.8,22,70,93
2024-03-20 16:59,ICW0W2000987,13,8,863,224,23.5,25,60,93
2024-03-20 16:59,ICW0W2000978,22,14,588,266,21.5,22,50,92
2024-03-20 16:59,ICW0W2000922,9,3,393,1023,24.4,24,64,77
2024-03-20 16:59,ICW0W2000926,4,1,66,1802,27.9,21,52,73
2024-03-20 16:59,ICW0W2000977,16,10,800,2290,20.7,25,78,74
